Id,Block,Area,WellName,X,Y,Horizon,SandName,TopSand,BaseSand,DataSource,DataSourceMDT,Netpay,Porosity,Sw,Egi,P,T,C1,C2,C3,iC4,nC4,iC5,nC5,C6,C7,C8+,CO2,N2,Total,GHV
1,B,KL,KL-1X,255880.7639,945034.5448,H,H_59,-6238.7,-6253.7,MLC,MLC,8.3,29.8,61.8,153.4,2820.2,114.4,86.5,5.1,1.8,0.3,0.3,0.1,0,0,0,0,3.4,2.5,100,1032
2,B,KL,KL-1X,255880.7639,945034.5448,H,H_76,-6416.1,-6448.5,MLC,MLC,12.7,22.3,41.8,158.2,2933,116.1,86.5,4.6,1.9,0.1,0.6,0.2,0,0,0,0,3.6,2.5,100,1035
3,B,KL,KL-1X,255880.7639,945034.5448,H,H_83,-6491.9,-6545.6,TST,TST-3,36.2,22.4,30.8,157.1,2961.9,117.2,91.1,3.2,0.5,0.1,0.1,0,0,0,0,0,4.2,0.6,100,1003
4,B,KL,KL-1X,255880.7639,945034.5448,I,I_94,-7800.7,-7875.9,TST,TST-2,53.4,19.4,50.5,172.8,3464,131.7,87.2,2.9,0.3,0.1,0.1,0,0,0,0.1,0,8.7,0.5,100,955
5,B,KL,KL-2X,255779.3996,949948.8475,H,H_84,-5344.9,-5416.9,MDT,MDT,40.2,23.5,50,130.5,2390.8,110.8,94.8,1.2,0.1,0,0,0,0,0,0,0,0,3.8,100,982
6,B,KL,KL-2X,255779.3996,949948.8475,H,H_98,-5470.2,-5490.8,MLC,MLC,5.4,23.2,65.4,131.8,2430.5,112.2,92.3,1.8,0.3,0.1,0.1,0.2,0,0,0,0,1.7,3.4,100,988
7,B,KL,KL-2X,255779.3996,949948.8475,I,I_42,-5997.2,-6018.7,MDT,MDT,19.1,22.3,31.3,143.4,2670.5,117.8,87.5,1.1,0.1,0,0,0,0,0,0,0,8.4,2.9,100,906
8,B,KL,KL-2X,255779.3996,949948.8475,I,I_97,-6668.6,-6704.3,MDT,MDT,28.8,19.9,30.2,154.7,2963.5,123.5,84.4,0.6,0.3,0,0,0,0,0,0,0,11.4,3.4,100,870
9,B,KL,KL-2X,255779.3996,949948.8475,J,J_9,-6763.9,-6803.5,MDT,MDT,29.3,21.2,31.7,155.1,3003.3,126,78.3,1.2,0.1,0,0,0,0,0,0,0,17.6,2.8,100,814
10,B,KL,KL-2X,255779.3996,949948.8475,J,J_18,-6824.5,-6835.7,MDT,MDT,3.9,23,36.5,156.7,3005.7,126.6,76.5,1.4,0.1,0,0,0,0,0,0,0,19.6,2.4,100,801
11,B,KL,KL-3X,259207.7091,940177.4202,F,F_30,-4547.9,-4556.7,MDT,MDT,4,25,58.4,116.1,2011.3,99.5,93,2.3,0.8,0.3,0.1,0.1,0,0,0,0,1.4,2,100,1018
12,B,KL,KL-3X,259207.7091,940177.4202,F,F_60,-4938.2,-4941.5,MLC,MLC,2.4,27.2,48.1,122.6,2196,107.5,91.2,3.4,1.2,0.3,0.2,0.1,0.1,0,0,0,1.9,1.7,100,1034
13,B,KL,KL-3X,259207.7091,940177.4202,F,F_94,-5399.3,-5401.2,MLC,MLC,1.2,17.6,58.3,135.4,2405.7,113,85.9,3.1,2,1.2,0.5,0.8,2.5,0,0,0,2.5,1.5,100,1159
14,B,KL,KL-3X,259207.7091,940177.4202,H,H_17,-5662.4,-5672,MDT,MDT,9.2,27.5,20.6,137.8,2547.5,115.4,90.6,3.4,0.8,0.3,0.2,0.1,0,0.1,0,0,2.9,1.7,100,1018
15,B,KL,KL-3X,259207.7091,940177.4202,H,H_19,-5691.2,-5703.3,MLC,MLC,9.2,19.9,55.9,136.9,2542.2,116.4,90.9,3.1,1,0.4,0.2,0,0,0,0,0,2.9,1.4,100,1018
16,B,KL,KL-3X,259207.7091,940177.4202,H,H_24,-5748.3,-5753.3,MLC,MLC,4.1,20.1,45.6,137.8,2574.1,117,91.9,2.5,0.7,0.2,0.1,0.1,0.1,0,0,0,3,1.5,100,1004
17,B,KL,KL-3X,259207.7091,940177.4202,H,H_86,-6447.2,-6476.2,MLC,MLC,11.5,24,68.1,150.5,2901.1,125.1,89.5,3.5,0.8,0.1,0.1,0,0.1,0,0,0,4.2,1.7,100,997
18,B,KL,KL-3X,259207.7091,940177.4202,I,I_9,-6742.2,-6752.5,MLC,MLC,1.6,24.8,62.2,154,3019.6,128.9,90.2,1.9,0.2,0,0.4,0.4,0.5,0,0,0,4.7,1.8,100,998
19,B,KL,KL-3X,259207.7091,940177.4202,I,I_33,-7098.7,-7126.2,MLC,MLC,3.3,13.4,61.2,159.4,3235.4,137.7,89.5,1.5,0.5,0,0.2,0.5,0.6,0,0,0,5.2,1.9,100,995
20,B,KL,KL-3X,259207.7091,940177.4202,I,I_42,-7217.5,-7224.1,MLC,MLC,1.3,12.2,61,162.6,3234,134.5,86.4,2.8,0.7,0.4,0.4,1.3,0.5,0,0,0,5.4,1.9,100,1042
21,B,KL,KL-3X,259207.7091,940177.4202,I,I_60,-7479.8,-7490.9,MLC,MLC,5.6,15.8,67.5,164.3,3355.3,137.6,90.2,0.3,0.1,0.3,0.5,0.3,0.4,0,0,0,5.9,2,100,972
22,B,KL,KL-3X,259207.7091,940177.4202,I,I_66,-7573.8,-7591.5,MDT,MDT,4.3,16.9,55.6,168.4,3436,137.5,87.9,2.9,0.6,0.1,0.1,0,0,0,0,0,6.2,2.2,100,961
23,B,KL,KL-3X,259207.7091,940177.4202,I,I_77,-7730.5,-7761.6,MLC,MLC,11.4,17.6,64,170.5,3495.8,140.6,82.2,2.6,0.4,0.1,0.1,0,0,0,0,0,12.6,2,100,893
24,B,KL,KL-3X,259207.7091,940177.4202,I,I_80,-7776.7,-7796.2,MLC,MLC,9.7,14.6,48.8,170.8,3494,141.1,79.9,2.7,0.4,0.1,0.1,0,0,0,0,0,14.8,1.9,100,872
25,B,KL,KL-3X,259207.7091,940177.4202,I,I_98,-8035.5,-8042.7,MLC,MLC,6.3,16.1,42.7,177,3550.5,141.1,69.5,1.4,0.2,0,0,0,0,0,0,0,27,1.8,100,735
26,B,KL,KL-3X,259207.7091,940177.4202,J,J_4,-8110.7,-8154.4,MDT,MDT,21.4,18.3,43.9,179.1,3580.1,143.1,64.9,1.4,0.4,0,0,0,0,0,0,0,31.5,1.7,100,694
27,B,KL,KL-3X,259207.7091,940177.4202,J,J_23,-8272.5,-8302.9,MDT,MDT,15.6,16.2,36.5,180.6,3641.8,144.5,65.6,1.3,0.2,0,0,0,0,0,0,0,30.9,1.9,100,696
28,B,KL,KL-3X,259207.7091,940177.4202,J,J_28,-8317.1,-8336.9,MLC,MLC,4.1,14.5,31.1,176.8,3622.8,147.5,68.3,1.2,0.1,0,0,0,0,0,0,0,28.4,1.9,100,718
29,B,KL,KL-3X,259207.7091,940177.4202,J,J_31,-8343.4,-8420.9,MDT,MDT,59.1,19.7,26.7,179.3,3650.9,147.4,70.7,1.5,0.2,0,0,0,0,0,0,0,25.4,2,100,751
30,B,KL,KL-4X,255329.3627,948472.3796,M,MMU_90,-3908.6,-3912.1,MLC,MLC,1.5,25.1,19,102.6,1735.3,90.5,91.8,3.2,0.8,0.3,0.1,0,0,0,0,0,1.4,2.3,100,1019
31,B,KL,KL-4X,255329.3627,948472.3796,F,F_7,-4105.9,-4108.2,MLC,MLC,2.3,28,37.7,105.9,1813.2,95.7,91.3,2.7,0,0,0,0,2.3,0,0,0,1.4,2.3,100,1061
32,B,KL,KL-4X,255329.3627,948472.3796,F,F_11,-4168.8,-4233.2,MLC,MLC,8.8,22.6,67.5,107.1,1839.7,94.3,92.9,2.1,0.8,0.2,0.1,0,0.1,0,0,0,1.4,2.3,100,1012
33,B,KL,KL-4X,255329.3627,948472.3796,F,F_16,-4245.2,-4251.5,MLC,MLC,0.8,13.4,11,109.8,1878.2,95.5,90,4.3,1.3,0.4,0.3,0,0.1,0,0,0,1.4,2.3,100,1041
34,B,KL,KL-4X,255329.3627,948472.3796,F,F_24,-4373.5,-4378.2,MLC,MLC,3,29.9,36.7,112.9,1963.6,97.4,93,2.3,0.6,0.2,0.1,0,0,0,0,0,1.4,2.3,100,1006
35,B,KL,KL-4X,255329.3627,948472.3796,F,F_27,-4415.2,-4436.9,MDT,MDT-1,19.8,21.8,35.4,112.2,1963.1,99.1,90.3,2.6,0.4,0.1,0.1,0,0,0,0,0,2.2,4.2,100,981
36,B,KL,KL-4X,255329.3627,948472.3796,F,F_43,-4662.1,-4680.4,MLC,MLC,6.2,24,49.8,118.2,2074.9,100.6,90.3,2.9,0.8,0.3,0.1,0,0,0,0,0,1.9,3.6,100,999
37,B,KL,KL-4X,255329.3627,948472.3796,F,F_51,-4783.3,-4790.1,MLC,MLC,5.7,17.7,40.8,121.2,2159.9,104.7,90.4,3.3,0.8,0.3,0.1,0,0,0,0,0,1.8,3.4,100,1004
38,B,KL,KL-4X,255329.3627,948472.3796,F,F_52,-4798.3,-4813.7,MLC,MLC,10,20.9,59.8,120.8,2160.2,105.6,90.5,3.2,0.8,0.3,0.1,0,0,0,0,0,1.7,3.3,100,1003
39,B,KL,KL-4X,255329.3627,948472.3796,F,F_60,-4925.1,-4930.1,MLC,MLC,3.2,14.5,34,124.5,2240.5,107.6,90.9,3.2,0.7,0.2,0.1,0.1,0,0,0,0,1.6,3.1,100,1010
40,B,KL,KL-4X,255329.3627,948472.3796,F,F_65,-5008.1,-5064.5,MDT,MDT-1,43.5,20.1,37.4,126.2,2272.8,107.7,92.7,2.5,0.4,0.1,0,0,0,0,0,0,1.5,2.8,100,994
41,B,KL,KL-4X,255329.3627,948472.3796,F,F_70,-5088.7,-5094.3,MLC,MLC,5.2,16.8,44.4,127,2276.5,107,90.5,3.7,0.9,0.2,0.1,0.1,0,0,0,0,1.7,2.8,100,1018
42,B,KL,KL-4X,255329.3627,948472.3796,F,F_75,-5159.5,-5162.6,MLC,MLC,2.4,18.1,50.5,126.4,2284.1,109.3,90.3,3.4,1,0.4,0.2,0,0,0,0,0,2,2.7,100.0669244,1021
43,B,KL,KL-4X,255329.3627,948472.3796,F,F_77,-5183.2,-5189.5,MLC,MLC,4.1,16.3,52.6,126.7,2295.5,109.9,90.6,3,1.1,0.3,0.1,0.1,0.1,0,0,0,2,2.7,100,1016
44,B,KL,KL-4X,255329.3627,948472.3796,F,F_78,-5198.4,-5209.8,MLC,MLC,1.7,10.9,58.9,129.5,2344,109.6,89.9,4.4,0.5,0.2,0.1,0,0,0,0,0,2.1,2.6,100,1012
45,B,KL,KL-4X,255329.3627,948472.3796,F,F_82,-5270.4,-5363.4,MDT,MDT-2,67.9,21.3,30,132.1,2402.9,111.4,90.8,3.2,0.6,0.2,0.1,0,0,0,0,0,2.6,2.5,100,1000
46,B,KL,KL-4X,255329.3627,948472.3796,F,F_89,-5374.3,-5382.8,MLC,MLC,3.7,17.2,66.2,129.9,2382,112.5,90.7,3,0.8,0.2,0.1,0,0,0,0,0,2.6,2.5,100,1003
47,B,KL,KL-4X,255329.3627,948472.3796,F,F_94,-5450.6,-5545.4,MLC,MLC,91.5,25.3,17.5,135,2468.1,113.7,88,4.7,1.3,0.5,0.2,0.1,0,0,0,0,2.6,2.6,100,1031
48,B,KL,KL-4X,255329.3627,948472.3796,H,H_5,-5620.9,-5685.7,MDT,MDT-2,46.5,19.1,37.8,135.5,2515.7,116.2,91.4,2.7,0.4,0.1,0,0,0,0,0,0,2.5,2.9,100,985
49,B,KL,KL-4X,255329.3627,948472.3796,H,H_22,-5851.9,-5857.1,MLC,MLC,4.6,17.6,46,137.7,2592.9,119.7,89.1,3.7,0.9,0.3,0.2,0.1,0,0,0,0,2.5,3.2,100,1009
50,B,KL,KL-4X,255329.3627,948472.3796,H,H_24,-5870.2,-5886.8,MLC,MLC,13.4,17.1,50.4,138.2,2605.4,120,89,3.8,0.9,0.3,0.2,0,0,0,0,0,2.5,3.2,100,1008
51,B,KL,KL-4X,255329.3627,948472.3796,F,F_82,-5907.1,-5913.3,MDT,MDT-3,1.6,14.3,43.2,138.4,2617.8,120.5,90.9,3.1,0.6,0.2,0.1,0,0,0,0,0,2.6,2.4,100,1002
52,B,KL,NKL-3X,248961.29,969725.98,F,F_17,-3832.7,-3849.7,MDT,SMP-1,11.8,26.8,22,103,1740,88,93.4,2.4,0.3,0.1,0,0,0,0,0,0,1,2.7,100,1000
53,B,KL,NKL-3X,248961.29,969725.98,F,F_22,-3884.8,-3899.5,MLC,MLC,3.8,14.6,54,104.1,2077,193,93.2,2.6,0.3,0.1,0,0,0,0,0.1,0,1,2.7,100,1003
54,B,KL,NKL-3X,248961.29,969725.98,F,F_27,-3939.1,-3951.9,MDT,SMP-2,6.1,24.1,35.1,103.9,1739,194,93.5,2.7,0.3,0.1,0,0,0,0,0,0,0.9,2.5,100,1005
55,B,KL,NKL-3X,248961.29,969725.98,F,F_31,-3983.8,-4140.9,MDT,SMP-3,27.8,29.2,23.8,104.7,1789,92,93.6,2.3,0.3,0.1,0,0,0,0,0,0,1,2.7,100,999
56,B,KL,NKL-3X,248961.29,969725.98,F,F_56,-4238.9,-4322.2,MDT,SMP-4,72.1,30.9,19.4,111.7,1912,95,93.4,2.3,0.3,0.1,0,0,0,0,0,0,1.2,2.7,100,998
57,B,KL,NKL-3X,248961.29,969725.98,F,F_69,-4366.5,-4377.1,MDT,SMP-6,1.9,27.5,48,113.7,1951,98,93.3,2.7,0.2,0.1,0,0,0,0.1,0,0,1,2.7,100,1002
58,B,AQ,AQ-1X,256260.301,926934.4832,H,H_23,-6424.3,-6430.4,MLC,MLC,3.6,17.2,42.2,153.6,3009.6,131,84.5,3.3,2.4,0.8,0.4,0,0.1,0,0,0,4.8,3.6,100,1018
59,B,AQ,AQ-1X,256260.301,926934.4832,H,H_24,-6444.9,-6453.3,MLC,MLC,5.2,19.2,42.4,155.6,3014,131.2,81.3,3.8,3.7,1.6,0.9,0.1,0.2,0,0,0,4.8,3.6,100,1075
60,B,AQ,AQ-1X,256260.301,926934.4832,H,H_34,-6567.6,-6573.1,MLC,MLC,4.7,24.1,61.8,155.9,3086,132.4,85.9,2.7,1.9,0.6,0,0.4,0.1,0,0,0,4.9,3.5,100,1002
61,B,AQ,AQ-1X,256260.301,926934.4832,H,H_59,-6884.6,-6896.8,MLC,MLC,9.1,24,56.1,161.1,3259.1,135.6,88.3,1.8,0.5,0.3,0.2,0.4,0.1,0,0,0,5.2,3.2,100,974
62,B,AQ,AQ-1X,256260.301,926934.4832,H,H_64,-6945.3,-6968.5,MLC,MLC,20.9,23.9,63.5,161.7,3282.6,136.2,88.8,1.5,0.3,0,0,0.9,0.2,0,0,0,5.2,3.2,100,972
63,B,AQ,AQ-1X,256260.301,926934.4832,H,H_84,-7204.2,-7209.3,MLC,MLC,4.3,21.4,36.2,168,3468.8,138.7,89.6,1.6,0.2,0,0.2,0,0.1,0,0,0,5.4,2.9,100,949
64,B,AQ,AQ-1X,256260.301,926934.4832,H,H_88,-7254.6,-7273.9,MLC,MLC,16,19.5,54.4,167.4,3486.3,141,90,1.4,0.1,0,0.1,0.1,0,0,0,0,5.5,2.9,100,943
65,B,AQ,AQ-1X,256260.301,926934.4832,H,H_97,-7370.8,-7406.1,TST,TST-3,34.9,22.5,31.7,169.5,3518.7,141.4,89.2,2.3,0.2,0,0,0,0,0.1,0.1,0,6.4,1.6,100,947
66,B,AQ,AQ-1X,256260.301,926934.4832,I,I_6,-7517.4,-7530.8,TST,TST-2,8.2,16.5,32.9,172.4,3599.8,141.8,88.9,1.4,0.2,0,0,0,0,0,0,0,7.5,1.9,100,956
67,B,AQ,AQ-1X,256260.301,926934.4832,I,I_9,-7567.5,-7583.4,MDT,MDT,11.3,21.8,30.4,172.2,3617.5,143.2,89,2.5,0.1,0,0,0,0,0,0,0,6.4,1.8,100,950
68,B,AQ,AQ-1X,256260.301,926934.4832,I,I_13,-7644.1,-7676.9,MLC,MLC,20.7,17.8,62.2,174.4,3610.1,143.1,84.9,1,0.3,0.8,0.4,1.4,0.6,0,0,0,8.8,1.9,100,1000
69,B,AQ,AQ-1X,256260.301,926934.4832,I,I_18,-7749.1,-7760.2,MLC,MLC,5.9,12.2,60.1,181.4,3636.9,144.1,76.5,1,0.3,0,1.8,1,7.4,0,0,0,10.1,1.9,100,1194
70,B,AQ,AQ-1X,256260.301,926934.4832,I,I_22,-7816.3,-7829.7,MLC,MLC,8.3,16.9,42.4,174.3,3658,144.8,84.9,1.7,0.2,0.1,0.1,0.1,0.1,0,0,0,11.1,1.9,100.2,907
71,B,AQ,AQ-1X,256260.301,926934.4832,I,I_23,-7836.4,-7844.3,MLC,MLC,5.5,12.9,51.6,175.2,3662.8,144.9,83.6,1.7,0.3,0.3,0.2,0.6,0.2,0,0,0,11.1,1.9,100,933
72,B,AQ,AQ-1X,256260.301,926934.4832,I,I_25,-7876.3,-7884.6,MLC,MLC,7.1,14.9,50.8,175.5,3675.2,145.4,83.2,1.6,0.3,0.4,0.2,0.6,0.2,0,0,0,11.6,1.9,100,927
73,B,AQ,AQ-1X,256260.301,926934.4832,I,I_32,-8004.2,-8016.5,MDT,MDT,11.9,19.8,29.2,177.9,3798.3,146.8,86.5,2.1,0.3,0,0,0,0,0,0,0,7,3.9,100,925
74,B,AQ,AQ-1X,256260.301,926934.4832,I,I_73,-8766.3,-8804.3,TST,TST-1,28.4,15.9,35.7,184.8,3969.6,154.9,74.5,1.2,0.1,0,0,0,0,0,0,0,22,2,100,786
75,B,AQ,AQ-1X,256260.301,926934.4832,I,I_81,-8903.4,-8912.1,MLC,MLC,6.3,14.5,38.5,187.2,3984.7,155.4,68.7,0.9,0.2,0.1,0.1,0.1,0,0,0,0,28.1,1.9,100,722
76,B,AQ,AQ-1X,256260.301,926934.4832,I,I_90,-9077.4,-9110.7,MDT,MDT,28.9,16.7,31.5,191.9,3994.3,158.7,55.3,0.7,0.1,0,0,0,0,0,0,0,42.1,1.7,100,580
77,B,AQ,AQ-1X,256260.301,926934.4832,I,I_92,-9113,-9134.5,MLC,MLC,9,14.6,60.9,192.4,3975.8,157.5,54.9,0.8,0.1,0.1,0.1,0.1,0.1,0,0,0,42,1.7,100,588
78,B,AQ,AQ-1X,256260.301,926934.4832,I,I_95,-9176,-9181.9,MLC,MLC,2,17.9,23.6,196.3,3988.2,158.1,48.6,0.8,0.3,0.2,0.1,0.1,0.1,0,0,0,48.1,1.6,100,532
79,52,AQ,AQ-3X,258459.2242,915514.6834,F,F_33,-5394,-5400.2,MLC,MLC,4.1,24.5,55.9,147,2396.8,118,74.4,8.3,7.1,0,0,0,0,0,0,0,4,6.2,100,1078
80,52,AQ,AQ-3X,258459.2242,915514.6834,H,H_31,-6852.9,-6864.5,TST,TST-7,8.6,23.5,60.1,191,3644,127,72.2,4.6,5.6,1.4,1.5,0.6,0.4,0.7,0.2,0,8.4,4.3,100,1134
81,52,AQ,AQ-3X,258459.2242,915514.6834,I,I_57,-8923.1,-8954.1,TST,TST-5,26.5,13.5,48.1,191.9,4327,162,82.1,2,0.1,0,0,0,0,0.1,0,0,14.2,1.4,100,876
82,52,AQ,AQ-3X,258459.2242,915514.6834,I,I_86,-9472.8,-9508.8,TST,TST-3,36,17.6,32.5,204.3,4470,170,55.1,0.6,0,0,0,0,0,0.1,0,0,42.8,1.3,100,575
83,52,AQ,AQ-3X,258459.2242,915514.6834,I,I_93,-9615.6,-9653.8,TST,TST-2,38.2,15.6,37.1,208.8,4500,173,46.5,0.3,0,0,0,0,0,0,0,0,52.1,1,100,479
84,52,AQ,AQ-3X,258459.2242,915514.6834,I,I_98,-9717.3,-9754.4,TST,TST-1,36.9,13.7,41.5,201.9,4360,175,46.2,0.4,0,0,0,0,0,0.1,0,0,51.9,1.4,100,478
85,52,AQ,AQ-4X,253490.8935,917318.7564,F,F_24,-5375.5,-5419.3,TST,TST-4,39.9,26.1,27.9,141.2,2395.1,117.7,72.8,9.4,6.8,1.5,1.6,0.6,0.4,0.4,0.1,0,3.9,2.4,100,1240
86,52,AQ,AQ-4X,253490.8935,917318.7564,F,F_55,-5821.4,-5843.4,TST,TST-3,21.3,18.3,41.1,143.5,2625.7,128.1,69.7,7.5,6.7,1.8,1.5,0.6,0.4,0.4,0.1,0.1,7.5,3.7,100,1181
87,52,AQ,AQ-4X,253490.8935,917318.7564,F,F_73,-6076.1,-6082.1,MLC,MLC,2.7,16.9,50.8,147.1,2734.7,127.7,70.4,7.9,5.9,0.9,1.1,0.3,0.2,0,0,0,8.8,4.7,100,1078
88,52,AQ,AQ-4X,253490.8935,917318.7564,F,F_77,-6128.4,-6132.6,MLC,MLC,3,15.7,60.3,147.4,2750,128.8,69.6,8.4,5.3,1,1.2,0.3,0.2,0,0,0,9,4.9,100,1077
